Country,Year,LCC
126,2011,
127,2011,TRUE
128,2011,FALSE
129,2011,
130,2011,FALSE
131,2011,
132,2011,FALSE
133,2011,
134,2011,FALSE
135,2011,
136,2011,
137,2011,FALSE
138,2011,TRUE
139,2011,TRUE
140,2011,FALSE
141,2011,
142,2011,
143,2011,
144,2011,FALSE
145,2011,
146,2011,FALSE
147,2011,FALSE
148,2011,TRUE
149,2011,TRUE
150,2011,
151,2011,
152,2011,
153,2011,FALSE
154,2011,FALSE
155,2011,TRUE
156,2011,
157,2011,
158,2011,FALSE
159,2011,
160,2011,FALSE
161,2011,FALSE
162,2011,FALSE
163,2011,FALSE
164,2011,FALSE
165,2011,
166,2011,FALSE
167,2011,FALSE
168,2011,FALSE
169,2011,TRUE
170,2011,
171,2011,
172,2011,
173,2011,FALSE
174,2011,TRUE
175,2011,FALSE
176,2011,FALSE
177,2011,
178,2011,FALSE
179,2011,FALSE
180,2011,FALSE
181,2011,TRUE
182,2011,
183,2011,FALSE
184,2011,
185,2011,FALSE
186,2011,FALSE
187,2011,
188,2011,
189,2011,FALSE
190,2011,
191,2011,FALSE
192,2011,FALSE
193,2011,FALSE
194,2011,FALSE
195,2011,FALSE
196,2011,FALSE
197,2011,FALSE
198,2011,
199,2011,
200,2011,TRUE
201,2011,FALSE
202,2011,FALSE
203,2011,
204,2011,
205,2011,
206,2011,FALSE
207,2011,FALSE
208,2011,FALSE
209,2011,FALSE
210,2011,
211,2011,
212,2011,
213,2011,TRUE
214,2011,FALSE
215,2011,FALSE
216,2011,FALSE
217,2011,FALSE
218,2011,FALSE
219,2011,FALSE
220,2011,
221,2011,
222,2011,FALSE
223,2011,FALSE
224,2011,
225,2011,
226,2011,TRUE
227,2011,TRUE
228,2011,TRUE
1,2010,TRUE
2,2010,FALSE
3,2010,FALSE
4,2010,
5,2010,FALSE
6,2010,TRUE
7,2010,
8,2010,FALSE
9,2010,FALSE
10,2010,FALSE
11,2010,
12,2010,
13,2010,FALSE
14,2010,FALSE
15,2010,FALSE
16,2010,
17,2010,FALSE
18,2010,TRUE
19,2010,FALSE
20,2010,FALSE
21,2010,FALSE
22,2010,FALSE
23,2010,TRUE
24,2010,
25,2010,TRUE
26,2010,FALSE
27,2010,FALSE
28,2010,FALSE
29,2010,FALSE
30,2010,
31,2010,FALSE
32,2010,FALSE
33,2010,TRUE
34,2010,
35,2010,TRUE
36,2010,TRUE
37,2010,FALSE
38,2010,FALSE
39,2010,
40,2010,
41,2010,TRUE
42,2010,FALSE
43,2010,FALSE
44,2010,
45,2010,FALSE
46,2010,
47,2010,TRUE
48,2010,TRUE
49,2010,FALSE
50,2010,TRUE
51,2010,FALSE
52,2010,FALSE
53,2010,FALSE
54,2010,FALSE
55,2010,
56,2010,FALSE
57,2010,TRUE
58,2010,FALSE
59,2010,FALSE
60,2010,FALSE
61,2010,FALSE
62,2010,FALSE
63,2010,TRUE
64,2010,TRUE
65,2010,FALSE
66,2010,TRUE
67,2010,
68,2010,
69,2010,FALSE
70,2010,FALSE
71,2010,FALSE
72,2010,
73,2010,FALSE
74,2010,TRUE
75,2010,FALSE
76,2010,FALSE
77,2010,TRUE
78,2010,
79,2010,FALSE
80,2010,
81,2010,FALSE
82,2010,
83,2010,FALSE
84,2010,
85,2010,
86,2010,TRUE
87,2010,FALSE
88,2010,
89,2010,FALSE
90,2010,FALSE
91,2010,FALSE
92,2010,FALSE
93,2010,FALSE
94,2010,FALSE
95,2010,FALSE
96,2010,
97,2010,FALSE
