"CountryCode","Year","LCC","estimate"
210,2010,NA,1
210,2011,NA,1
210,2012,NA,1
210,2013,NA,1
210,2014,0,1
211,2008,NA,1
211,2010,NA,1
211,2011,NA,1
211,2012,NA,1
211,2013,NA,1
211,2014,NA,1
212,2008,NA,1
212,2010,NA,1
212,2011,NA,1
212,2012,NA,1
212,2013,NA,1
212,2014,NA,1
213,2008,1,0
213,2010,1,0
213,2011,1,0
213,2012,1,0
213,2013,1,0
213,2014,1,0
214,2008,0,0
214,2010,0,0
214,2011,0,0
214,2012,0,0
214,2013,0,0
214,2014,0,0
215,2008,0,0
215,2010,0,0
215,2011,0,0
215,2012,0,0
215,2013,0,0
215,2014,0,0
216,2008,0,0
216,2010,0,0
216,2011,0,0
216,2012,0,0
216,2013,0,0
216,2014,0,0
217,2008,0,0
217,2010,0,0
217,2011,0,0
217,2012,0,0
217,2013,0,0
217,2014,0,0
218,2008,0,0
218,2010,0,0
218,2011,0,0
218,2012,0,0
218,2013,0,0
218,2014,0,0
219,2008,0,0
219,2010,NA,1
219,2011,0,0
219,2012,0,0
219,2013,0,0
219,2014,0,1
220,2008,NA,1
220,2010,0,0
220,2011,NA,1
220,2012,NA,1
220,2013,NA,1
220,2014,1,0
221,2008,NA,1
221,2010,NA,1
221,2011,NA,1
221,2012,NA,1
221,2013,NA,1
221,2014,NA,1
222,2008,0,0
222,2010,0,0
222,2011,0,0
222,2012,0,0
222,2013,0,0
222,2014,0,0
223,2008,0,0
223,2010,0,0
223,2011,0,0
223,2012,0,0
223,2013,0,0
223,2014,0,0
224,2008,NA,1
224,2010,NA,1
224,2011,NA,1
224,2012,NA,1
224,2013,NA,1
224,2014,NA,1
225,2008,NA,1
225,2010,NA,1
225,2011,NA,1
225,2012,NA,1
225,2013,NA,1
225,2014,NA,1
226,2008,1,0
226,2010,NA,1
226,2011,1,0
226,2012,1,0
226,2013,1,0
226,2014,1,1
227,2008,1,0
227,2010,1,0
227,2011,1,0
227,2012,1,0
227,2013,1,0
227,2014,1,0
228,2008,1,0
228,2010,1,0
228,2011,1,0
228,2012,0,0
228,2013,0,0
228,2014,1,0
